file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,190,css,0fe1c858,taejunp095-ops,2026-04-20,15:34:41,-07:00,2026-04-20T15:34:41-07:00,1,15
style.css,191,css,0fe1c858,taejunp095-ops,2026-04-20,15:34:41,-07:00,2026-04-20T15:34:41-07:00,0,0
style.css,192,css,0fe1c858,taejunp095-ops,2026-04-20,15:34:41,-07:00,2026-04-20T15:34:41-07:00,0,0
style.css,193,css,2243cf09,taejunp095-ops,2026-04-20,15:32:40,-07:00,2026-04-20T15:32:40-07:00,0,17
style.css,194,css,2243cf09,taejunp095-ops,2026-04-20,15:32:40,-07:00,2026-04-20T15:32:40-07:00,1,12
style.css,195,css,2243cf09,taejunp095-ops,2026-04-20,15:32:40,-07:00,2026-04-20T15:32:40-07:00,1,36
style.css,196,css,0fe1c858,taejunp095-ops,2026-04-20,15:34:41,-07:00,2026-04-20T15:34:41-07:00,1,17
style.css,197,css,0fe1c858,taejunp095-ops,2026-04-20,15:34:41,-07:00,2026-04-20T15:34:41-07:00,1,8
style.css,198,css,2243cf09,taejunp095-ops,2026-04-20,15:32:40,-07:00,2026-04-20T15:32:40-07:00,1,17
style.css,199,css,2243cf09,taejunp095-ops,2026-04-20,15:32:40,-07:00,2026-04-20T15:32:40-07:00,0,0
style.css,200,css,2243cf09,taejunp095-ops,2026-04-20,15:32:40,-07:00,2026-04-20T15:32:40-07:00,0,0
style.css,201,css,2243cf09,taejunp095-ops,2026-04-20,15:32:40,-07:00,2026-04-20T15:32:40-07:00,0,17
style.css,202,css,2243cf09,taejunp095-ops,2026-04-20,15:32:40,-07:00,2026-04-20T15:32:40-07:00,1,10
style.css,203,css,0fe1c858,taejunp095-ops,2026-04-20,15:34:41,-07:00,2026-04-20T15:34:41-07:00,1,15
style.css,204,css,2243cf09,taejunp095-ops,2026-04-20,15:32:40,-07:00,2026-04-20T15:32:40-07:00,0,0
style.css,205,css,2243cf09,taejunp095-ops,2026-04-20,15:32:40,-07:00,2026-04-20T15:32:40-07:00,0,0
style.css,206,css,2243cf09,taejunp095-ops,2026-04-20,15:32:40,-07:00,2026-04-20T15:32:40-07:00,0,17
style.css,207,css,2243cf09,taejunp095-ops,2026-04-20,15:32:40,-07:00,2026-04-20T15:32:40-07:00,1,10
style.css,208,css,2243cf09,taejunp095-ops,2026-04-20,15:32:40,-07:00,2026-04-20T15:32:40-07:00,1,8
style.css,209,css,2243cf09,taejunp095-ops,2026-04-20,15:32:40,-07:00,2026-04-20T15:32:40-07:00,1,16
style.css,210,css,7efa9c3e,taejunp095-ops,2026-04-30,09:50:47,-07:00,2026-04-30T09:50:47-07:00,0,0
style.css,211,css,7efa9c3e,taejunp095-ops,2026-04-30,09:50:47,-07:00,2026-04-30T09:50:47-07:00,0,0
style.css,212,css,7efa9c3e,taejunp095-ops,2026-04-30,09:50:47,-07:00,2026-04-30T09:50:47-07:00,0,0
style.css,213,css,7efa9c3e,taejunp095-ops,2026-04-30,09:50:47,-07:00,2026-04-30T09:50:47-07:00,0,13
style.css,214,css,7efa9c3e,taejunp095-ops,2026-04-30,09:50:47,-07:00,2026-04-30T09:50:47-07:00,1,30
style.css,215,css,7efa9c3e,taejunp095-ops,2026-04-30,09:50:47,-07:00,2026-04-30T09:50:47-07:00,1,34
